title,url,status,timing
Субсидии на возмещение затрат на энергоресурсы организациям автомобильной промышленности,https://gisp.gov.ru/nmp/measure/6476129,Активная,
Субсидии экспортерам промышленной продукции военного назначения на возмещение части затрат на уплату процентов по кредитам,https://gisp.gov.ru/nmp/measure/6476143,Активная,
Субсидии на реализацию пилотных проектов в области инжиниринга и промышленного дизайна,https://gisp.gov.ru/nmp/measure/6476145,Активная,
Субсидия на компенсацию процентов по инвесткредитам на производство редких и редкоземельных металлов,https://gisp.gov.ru/nmp/measure/6476176,Активная,
Субсидия на возмещение затрат на производство и реализацию сельскохозяйственной техники,https://gisp.gov.ru/nmp/measure/6929166,Активная,
"Субсидии банкам на возмещение части затрат по кредитам, выданным в 2018 - 2026 годах физическим лицам на приобретение автомобилей",https://gisp.gov.ru/nmp/measure/7763451,Активная,
Субсидия на компенсацию процентов по кредитам и/или выплату дохода по облигациям производителям грузовых транспортных средств,https://gisp.gov.ru/nmp/measure/7768465,Активная,
"Субсидии российским организациям на возмещение части затрат на уплату процентов по кредитам, привлеченным для реализации проектов по созданию судостроительных комплексов",https://gisp.gov.ru/nmp/measure/8880018,Активная,"Бюджет на 2024 г., 180 млн ₽"
Субсидия на компенсацию процентов по кредитам и договорам лизинга организациям авиапромышленности,https://gisp.gov.ru/nmp/measure/7769169,Активная,
Субсидии стратегическим организациям оборонно-промышленного комплекса в целях предупреждения банкротства,https://gisp.gov.ru/nmp/measure/7773958,Активная,
Субсидия на возмещение затрат на экспорт организациям автомобилестроения,https://gisp.gov.ru/nmp/measure/7774400,Активная,
"Субсидии организациям авиационной промышленности, осуществляющим деятельность в области двигателестроения, на возмещение затрат на уплату купонного дохода по облигационным займам",https://gisp.gov.ru/nmp/measure/7775349,Активная,
Субсидии на возмещение затрат казенных предприятий оборонно-промышленного комплекса,https://gisp.gov.ru/nmp/measure/8133024,Активная,
"Субсидии организациям, оказывающим услуги, связанные с железнодорожным подвижным составом, на возмещение части затрат, связанных с приобретением грузового железнодорожного подвижного состава, в 2017 году",https://gisp.gov.ru/nmp/measure/8133629,Активная,
"Субсидии на компенсацию затрат в связи с производством колесных транспортных средств, а также узлов и агрегатов к ним",https://gisp.gov.ru/nmp/measure/9212548,Активная,
